ref,from,to,opening-hours,via,intermediates,exceptions,duration,frequency,intermediate-durations
85,Akweteman Zongo,Achimota,Mo-Sa 05:00-10:00,,Akweteman Zongo (Last Stop);Akwetteyman Zongo;Living God Junction;Cemetry Junction;Achimota Market;Kingsby Taxi rank;Achimota Overhead;Achimota New Station,,18.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0
85,Achimota,Akweteman Zongo,Mo-Sa 05:00-10:00,,Achimota New Station;Achimota Overhead;Achimota Old Station;Akweteyman;Kopevi;Adwenpa;Akwetteyman Zongo;Akweteman Zongo (Last Stop),,21.0,10,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0
104,Mayera/Adusa,Achimota,Mo-Sa 05:00-10:00,,Mayera/Adusa;Adusah Quarters;Adusah Block Factory;Okaiman Junction;Mayera Market;Fase Junction;Osofo Ama;New Life;Agbodji;Alosa;Afiaman Pamprom;Thank You Jesus;Quarters Junction;Pokuase Agric;Pokuase Old Station;Pokuase New Station;Pokuase Junction;Pokuase Junction main Road;ACP Junction;Agya Herbal;John Teye;Ofankor Barrier;Income Tax;Spot M;Taifa Junction;Tantra Hills;St. Johns;Mile 7;ABC Junction;Neoplan;Achimota Overhead;Achimota New Station,,49.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0;62.0
104,Achimota,Mayera/Adusa,Mo-Sa 05:00-10:00,,Achimota New Station;Neoplan;ABC Junction;Mile 7;Best Point;Achimota Mall;St. Johns;St John's Second;Tantra Hills;Taifa Junction;Spot M;Income Tax;Ofankor Barrier;John Teye;Agya Herbal;ACP Junction;Pokuase Junction;Pokuase Old Station;Pokuase Agric;Quarters Junction;Thank You Jesus;Afiaman Pamprom;White House;Alosa;Agbodji;New Life;Osofo Ama;Fase Junction;Mayera Market;Okaiman Junction;Adusah Quarters;Mayera/Adusa,,60.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0;62.0
105,Medie/Kotoku,Achimota,Mo-Sa 05:00-10:00,,Kotokou;Rafiki;Akotoshi no.1;Rush;Akotoshi No 2;Bridge;Voltic;Medie;Gaogao;Kontunse;Container;Macedonia;Pobiman;Sapeiman;Shikpontele;Agya Appiah;Toman;Chop bar;Amasaman;Fusi Junction;Festus;Pokuase Junction;Pokuase Junction main Road;ACP Junction;Agya Herbal;John Teye;Ofankor Barrier;Income Tax;Spot M;Taifa Junction;Tantra Hills;St. Johns;Mile 7;ABC Junction;Neoplan;Achimota Overhead;Achimota New Station,,73.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0;62.0;64.0;66.0;68.0;70.0;72.0
105,Achimota,Medie/Kotoku,Mo-Sa 05:00-10:00,,Achimota New Station;Neoplan;ABC Junction;Mile 7;Best Point;Achimota Mall;St. Johns;St John's Second;Tantra Hills;Taifa Junction;Spot M;Income Tax;Ofankor Barrier;John Teye;Agya Herbal;ACP Junction;Pokuase Junction;Festus;Fusi Junction;Amasaman;Toman;Shikpontele;Sarpeiman;Macedonia;Pobiman;Container;Kontunse;Satellite;Samsam;Gaogao;Medie;Bridge;Akotoshi No 2;School Junction;Kotokou,,83.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0;62.0;64.0;66.0;68.0
117,Tema Main Station,Achimota,Mo-Sa 05:00-10:00,,Accra New Tema Station;National Theatre;Children's Park First;Children's Park Second;Roundabout Ridge;Ridge Hospital;Accra High School;Sunny FM;Nima Junction;441;Library;Kaukudi;Accra Girls;Pig Farm Junction;Ebony;Dzorwulu Junction;Abelenkpe Junction;Abelenkpe Curve;Lotto Kiosk Abelenkpe;White House;Dua Ase;Village Gym;AMA;Junction;Marwako;Abofu Overhead;Abofu Market;Presby School;Vulcanizer;Curve;Achimota New Station,,98.0,10,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0;39.0;42.0;45.0;48.0;51.0;54.0;57.0;60.0;63.0;66.0;69.0;72.0;75.0;78.0;81.0;84.0;87.0;90.0
117,Achimota,Tema Main Station,Mo-Sa 05:00-10:00,,Achimota New Station;Achimota Forest;Forestry;Abelemkpe Junction;Railway;Dzorwulu Junction;Ebony;Roman Ridge 1st;Roman Ridge 2nd;Pig Farm Junction;Accra Girls;Kaukudi;Kanda Masalaachi;Nima Junction;Overhead;Sunny FM;Accra High School;Second Gate;Mental;Museum;Tigo Office;Accra Technical University;Kinbu;Accra New Tema Station,,74.0,10,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0;39.0;42.0;45.0;48.0;51.0;54.0;57.0;60.0;63.0;66.0;69.0
118,Teshie-Nungua,Achimota,Mo-Sa 05:00-10:00,,Nungua;Bank;Nungua Market;C5;Cold Store;Brigade;A-life;First Junction;Abotsi Anya;Mobil;Addoemi;Laskala;Police Station;Kofi Annan;Next Door;First Gate;Second Gate;Bush Road;Gas;Telephone;Total;T-Junction Curve;Trade Fair;Kpogas;Palm Wine;Villas;Soul Clinic;Congo Junction;Home touch;El-Wak;37;37 Military Hospital;Culture;Roman Ridge;Ebony;Dzorwulu Junction;Abelenkpe Junction;Abelenkpe Curve;Lotto Kiosk Abelenkpe;White House;Dua Ase;Village Gym;AMA;Junction;Marwako;Abofu Overhead;Abofu Market;Presby School;Vulcanizer;Curve;Achimota New Station,,96.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0;62.0;64.0;66.0;68.0;70.0;72.0;74.0;76.0;78.0;80.0;82.0;84.0;86.0;88.0;90.0;92.0;94.0;96.0;98.0;100.0
118,Achimota,Teshie-Nungua,Mo-Sa 05:00-10:00,,Achimota New Station;Achimota Forest;Forestry;Abelemkpe Junction;Railway;Dzorwulu Junction;Ebony;Roman Ridge 1st;Roman Ridge 2nd;Pig Farm Junction;Accra Girls;Kankudi;Culture;37 First Gate;37 Last Stop;El-Wak Stadium;Home Touch;Congo Junction;Soul Clinic;Villas;Palm Wine;Kpogas;Trade Fair;Green Court;La-Palm Hotel;Labadi Beach;La Beach Hotel;Bush Road;First Gate;Second Gate;Next Door;Kofi Annan;Laskala;Addoemi;Mobil;First Junction;A-life;Brigade;Cold Store;C5;Bank;Nungua,,96.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0;62.0;64.0;66.0;68.0;70.0;72.0;74.0;76.0;78.0;80.0;82.0
159,Kotobabi Police Station,Alajo Junction,Mo-Sa 05:00-10:00,,Kotobabi Police Station;Prempeh;Tobinco Junction;Labour Centre;Kotobabi Market junction;Social;Kotobabi Down (Polo Park);Modest;Polo Junction;Merciful Hotel;Alajo T-Junction;Pele;Taxi Rank Alajo;Filling Station;Alajo Market;Alajo Junction,,16,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0
159,Alajo Junction,Kotobabi Police Station,Mo-Sa 05:00-10:00,,Alajo Junction;Alajo Market;Filling Station;Sarbah Junction;Taxi Rank Alajo;Pele;Alajo T-Junction;Alajo Blue Kiosk;Polo Junction;Ridge;Modest;Kotobabi Down (Polo Park);Ojawe;Kotobabi Night Market;Prempeh;Tobinco Junction;CJ School;Kotobabi Police Station,,18,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0
164,Kaneshie,Arena,Mo-Sa 05:00-10:00,,Kaneshie;Pamprom;Abossey Okai;Seconds;Market;Arena,,34.0,10,0.0;6.0;12.0;18.0;24.0;30.0
164,Arena,Kaneshie,Mo-Sa 05:00-10:00,,Arena;Abossey Okai;Pamprom;Kaneshie Market;Kaneshie Foot Bridge,,34.0,10,0.0;7.0;14.0;21.0;28.0
166,Russia,Arena,Mo-Sa 05:00-10:00,,Russia Station;Omanko;Russia;Paa Willie;Ashtown;Flamingo;Seven great junction;Block Factory junction;Zongo junction;Great Lamptey;Abossey Okai junction;Total;Sabolai;Seconds;Market;Galloway;Arena,,50.0,10,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0;39.0;42.0;45.0;48.0
166,Arena,Russia,Mo-Sa 05:00-10:00,,Arena;Palledium;UTC;Accra Royal;Mortuary;Ayigbe Town;Happy Days;Laskia;Great Lamptey;Zongo Junction;Club Corner;Flamingo;Ashtown;Paa Willie;Russia;Omanko;Russia Station,,50.0,10,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0;39.0;42.0;45.0;48.0
173,Cantonment,Accra Bishop,Mo-Sa 05:00-10:00,,Cantonments;Roundabout;Aquinas;Prisons;Police Hospital;Koala;Afridom;SSNIT;Frankies;Papaye;Shell;Osu Shell;Presby School Junction;Osu Salem;Five junction;Second Stop/Ataa Adjettey;Castle Junction;Ministries;Agric;Tema Station Union of GPRTU;Court;Accra Bishop,,120.0,10,0.0;5.0;10.0;15.0;20.0;25.0;30.0;35.0;40.0;45.0;50.0;55.0;60.0;65.0;70.0;75.0;80.0;85.0;90.0;95.0;100.0;105.0
173,Accra Bishop,Cantonment,Mo-Sa 05:00-10:00,,Accra Bishop;Ama;Tema station;Ministries;First Stop;Second Stop;Five Junction;Osu Shell;Shell;Papaye;SNNIT;Penta Hotel;Police Hospital;Prisons;Morning Star;Junction;IGP;Cantonments,,120.0,10,0.0;7.0;14.0;21.0;28.0;35.0;42.0;49.0;56.0;63.0;70.0;77.0;84.0;91.0;98.0;105.0;112.0;119.0
175,Banana Inn/Dansoman,Agbogbloshie,Mo-Sa 05:00-10:00,,Banana Inn;Banana Inn Transformer;Abodoo Bridge;St.Marys;IBE;Akoshi Junction Mamprobi;Mamprobi Methodist;Abodwe;Rainbow;Mamprobi Post Office;Plaza;Electricity;Awotsɛ Kojo;New Station;Total;Korle Bu;Korle-Bu Barber;Boxing Arena;UTC;UTC;Agbado;Timber Market;Arena;Galloway;Agbobloshie 2;Agbogbloshie,,29.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0
175,Agbogbloshie,Banana Inn/Dansoman,Mo-Sa 05:00-10:00,,Agbogbloshie;Galloway;Timber Market;Palledium;UTC;Korle-Bu Barber;Korle Bu;Total;New Station;Awotsɛ Kojo;Plaza;Mamprobi Shell;Mamprobi police station;Rainbow;Mamprobi Methodist;Akoshi Junction Mamprobi;IBE;Abodoo Bridge;Banana Inn,,28.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0
178,Accra CMB,Bubuashie Ayigbe Town,Mo-Sa 05:00-10:00,,Accra;Graphic junction;Graphic;Fata;Mtn office / Kaneshie Roundabout;Kaneshie;Kaneshie Roundabout;Roundabout;Mothers Inn;Nkrumah flat;Presby;Tsofi;Sakora;Mangoase;Been to;St. Johns;Asoredanho;Alhadji;Ayigbe town;Bubiashie Ayigbe Town,,24.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0
178,Bubuashie Ayigbe Town,Accra CMB,Mo-Sa 05:00-10:00,,Bubiashie Ayigbe Town;Fita;Ayigbe Town Old Station;Obeyeyie;Cemetry;Mother's Inn;Roundabout;Awudome;State Transport;Roundabout;Kaneshie Roundabout;Cold store;Graphic;First Gate;Maingate;Accra,,39.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0
185,Agbogbloshie,Chorkor,Mo-Sa 05:00-10:00,,Agbogbloshie;Galloway;Timber Market;Palledium;Jamestown Police Station;Accra Royal;Korle er naa;Korle gonno shell;Korle beach resort;White House;Galilee;Hotel Junction;Wolarm;Tei Abaa;Tea Garden;Alomo Junction;Lantemame;Bridge;Chokor/ Chemuna,,21.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0
185,Chorkor,Agbogbloshie,Mo-Sa 05:00-10:00,,Chokor/ Chemuna;Lantemame;Korle beach resort junction;Accra Royal;Roundabout;Timber Market;Palledium;Arena;Galloway;Agbobloshie 2;Agbogbloshie,,34.0,10,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0
224,Alajo,Accra CMB,Mo-Sa 05:00-10:00,,Alajo;Alajo T-Junction;Pele;Taxi Rank Alajo;Filling Station;Alajo Market;Caprice;Avenor;Circle Asoredanho;Ashongman;Vodafone;PTC;Dance Bar;Adabraka;Adabraka Market;Roxy Cinema;Kingsway;Railways;Kingsway;Accra CMB,,38.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0
224,Accra CMB,Alajo,Mo-Sa 05:00-10:00,,Accra CMB;Kingsway;Starlite;Champion;Adabraka Market;Mr. Biggs;Circle;Circle Post Office;Circle Asoredanho;Caprice;Alajo Market;Filling Station;Sarbah Junction;Taxi Rank Alajo;Pele;Alajo T-Junction;Alajo,,55.0,10,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0;39.0;42.0;45.0;48.0
227,Manhean,Accra CMB,Mo-Sa 05:00-10:00,,Manhean;Junction;Twibleoo;Oduman;Block Factory;Ablekuma Park;Ablekuma Curve;Pentecost Junction;FanMilk Junction;Block Factory;Bridge;Awoshie Junction;Anyaa Market (Awoshie);Nii Bortey;Calvary;Awoshie Last stop;Awoshie Onyinase;Abrantie;Awoshie;Awoshie Amangoase;Mallam;Awoshie Vineyard;Water Works;Mallam Market;Sakaman;Chabaar;Busia Junction;Cold Store;Odorkor;Waterworks junction;Glory Land;Darkuman Junction;Dansoman Junction;Atico;Mataheko Quarters;Accra Academy;First Light;Kaneshie;Kaneshie First Bridge;Kaneshie Foot Bridge;Kaneshie Second Bridge;Pamprom;Kaneshie Roundabout;Cold store;Graphic;First Gate;Kingsway;Railways;Kingsway;Accra CMB,,94.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0;62.0;64.0;66.0;68.0;70.0;72.0;74.0;76.0;78.0;80.0;82.0;84.0;86.0;88.0;90.0;92.0;94.0;96.0;98.0
227,Accra CMB,Manhean,Mo-Sa 05:00-10:00,,Accra CMB;Gate;Graphic junction;Graphic;Fata;Rana motors;Mtn office / Kaneshie Roundabout;Pamprom;Kaneshie Market;Kaneshie Foot Bridge;Mallam Station;First Light;Accra Academy;Mataheko Quarters;Goil;Dansoman Junction;Darkuman junction;Glory Land junction;Waterworks junction;Odorkor (Main Bus stop);Awoshie Vineyard;Awoshie Amangoase;Awoshie;Abrantie;Awoshie Onyinase;Awoshie Last stop;Calvary;Nii Bortey;Anyaa Market (Awoshie);Anyaa School Junction;Anyaa;Academy;Anyah Last Stop;NIC;Nsunfa;CP;Block Factory;FanMilk Junction;Galilee;Pentecost Junction;Ablekuma Junction;Ablekuma;Ablekuma Park;Bokorbokor;Ablekuma CP;Ablekuma Block Factory;Point 5;Paradise;Mangoase;Waakye;Oduman;Twibleoo;Nuumo Tse;Alavanyo;Junction;Manhean,,75.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0;26.0;27.0;28.0;29.0;30.0;31.0;32.0;33.0;34.0;35.0;36.0;37.0;38.0;39.0;40.0;41.0;42.0;43.0;44.0;45.0;46.0;47.0;48.0;49.0;50.0;51.0;52.0;53.0;54.0;55.0
228,Odorkor,Accra CMB,Mo-Sa 05:00-10:00,,Odorkor;Darkuman Junction;Dansoman Junction;Atico;Mataheko Quarters;Accra Academy;First Light;Kaneshie First Bridge;Kaneshie Foot Bridge;Kaneshie Second Bridge;Kaneshie;Pamprom;Kaneshie Roundabout;Cold store;Graphic;First Gate;Maingate;Accra CMB,,40.0,5.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0
228,Accra CMB,Odorkor,Mo-Sa 05:00-10:00,,Accra CMB;Gate;Graphic junction;Graphic;Fata;Rana motors;Mtn office / Kaneshie Roundabout;Pamprom;Kaneshie Market;Kaneshie Foot Bridge;Mallam Station;First Light;Accra Academy;Mataheko Quarters;Goil;Dansoman Junction;Darkuman junction;Glory Land junction;Waterworks junction;Odorkor,,40.0,5.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0
230,Omanjor,Accra CMB,Mo-Sa 05:00-10:00,,Omanjor;School Junction (Omanjor);Transformer (Omanjor);School Junction;Junction;Presby;Mensah Addo;Mambo;Heavenly Church;Sowutuom Last stop;Printing press;Pentecost;Sowutuom Market;Sowutuom Chopbar;Dega;Rescue point;Africa;Polo;Ebenezer;Auntie Aku;Assiamah;Santa Maria;Drug store;Video Junction;Family Friend;Santa Maria Blue Kiosk;Jah Love;Christ Mission;Kwashieman Junction;Kwashieman Junction;Odorkor official town;Odorkor;Odorkor Market;Odorkor Station;Water;Waterworks junction;Glory Land;Darkuman Junction;Dansoman Junction;Atico;Mataheko Quarters;Accra Academy;First Light;Kaneshie First Bridge;Kaneshie Foot Bridge;Kaneshie Second Bridge;Kaneshie;Pamprom;Kaneshie Roundabout;Rana motors;Cold store;Graphic;First Gate;Maingate;Accra CMB,,72.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0;26.0;27.0;28.0;29.0;30.0;31.0;32.0;33.0;34.0;35.0;36.0;37.0;38.0;39.0;40.0;41.0;42.0;43.0;44.0;45.0;46.0;47.0;48.0;49.0;50.0;51.0;52.0;53.0;54.0
