ref,from,to,opening-hours,via,intermediates,exceptions,duration,frequency,intermediate-durations
31,Abeka Lapaz,37,Mo-Sa 05:00-10:00,,Abeka Lapaz (Nii Boi);Achimota Overhead;Abofu;CP;Abelenkpe Junction;Dzorwulu Junction;Ebony;Roman Ridge 2nd;Pig Farm Junction;Accra Girls;Kankudi;Culture;37 First Gate;37 Last Stop;37,,30.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0
31,37,Abeka Lapaz,Mo-Sa 05:00-10:00,,37;Culture;Roman Ridge;Ebony;Dzorwulu Junction;Abelenkpe Junction;Abofu;Achimota Overhead;Akweteyman;Fly Top;Lapaz Market;Bambolino;Nii Boi Town Junction;Abeka Lapaz,,26.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0
282,Kaneshie,Shalom,Mo-Sa 05:00-10:00,,Kaneshie;Zongo Junction;Pipeier Naa;Black Smith;Radio Gold;Salvation Army;Sempe First;Sempe Second;Mamprobi Station;Mamprobi Shell;Market;Banku Junction;Duanase;White House;White House;Hotel Junction;Ejas;Shalom,,26.0,3.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0
282,Shalom,Kaneshie,Mo-Sa 05:00-10:00,,Shalom;Asoredan ho;Market;Market Junction;Shell;Mamprobi Station;Sempe First;Sempe Second;Salvation Army;Korle Bu Junction;Radio Gold;Black Smith;Pipeier Naa;Kasoa Station;Zongo Junction;Asoredan ho;Dansoman Junction;Kaneshie,,22.0,3.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0
56,Abeka Lapaz,Race Course,Mo-Sa 05:00-10:00,,Abeka Lapaz;Lapaz Market;Tabora Number 3;Tabora Number2;Ahenfie;School Junction Race Course;Container Race Course;Attah Junction;Rasta Junction;Gyedu Junction;Appiah Junction;Phobia Junction;Race Course,,18.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0
56,Race Course,Abeka Lapaz,Mo-Sa 05:00-10:00,,Race Course;Gyedu Junction;Rasta Junction;Attah Junction;Container Race Course;School Junction Race Course;Race Course Blue Gate;Ahenfie;Tabora Number2;Tabora Number 3;Lapaz Market;Lapaz Community Junction;Lapaz Community Hospital;Lapaz Masalaashie;Lapaz Last stop;Lapaz Station;Abeka Lapaz,,18.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0
11,Circle Accra,Abeka Lapaz,Mo-Sa 05:00-10:00,,Circle;Circle Overhead;Circle;Circle Asoredanho;Caprice;Alajo;Abeka Junction;Abeka Junction Curve;Total;Total Curve;Adom Junction;Free Pipe;Abeka Main Market;Eno;Fadama Junction;Abeka Post Office;Abotare;Abeka Lapaz Last Stop,,42.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0
11,Abeka Lapaz,Circle Accra,Mo-Sa 05:00-10:00,,Abeka Lapaz;Abeka Post Office;Fadama Junction;Eno;Fadama;Abeka Main Market;Free Pipe;Adom Junction;Total;Abeka Junction Curve;Abeka Junction;CAT;Alajo;Caprice;Circle Asoredanho;Circle,,37.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0
15,Dome Kwabenya,Abeka Lapaz,Mo-Sa 05:00-10:00,,Kwabenya;Atomic Junction;Born Again;Gym;Dome Old Station;Dome Crossing;Adehyeman;Dome Market;St. Johns;Tantra Hills;Mile 7 Junction;Presby Junction;Mile 7 Park;Jesus and Mary;Mile 7 Clinic;T-Junction Down;Mile 7 T-Junction Top;Family Life;Fishpond;High Tension;Nii Boi Station;Container;MTN;Abeka Lapaz,,53.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0
15,Abeka Lapaz,Dome Kwabenya,Mo-Sa 05:00-10:00,,Abeka Lapaz;Fishpond;St. Johns;Family Life;Mile 7 T-Junction;High Tension;Mile 7 Clinic;Jesus and Mary;Masalaashi;Mile 7 Park;Presby Junction;Mile 7 Junction;Best Point;Achimota Mall;Dome Market;Adehyeman;Dome Crossing;Dome Old Station;Dome Mobil;Gym;Born again;Dome New Station;Atomic First;Atomic Second;Stores;Point 1;Point 2;Mosuku Junction;White House;Oscar Junction;Kwabenya Market;Kwabenya,,52.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0;62.0
6,Sakumono Estate,Abeka Lapaz,Mo-Sa 05:00-10:00,,Sakumono;Washing Bay;Junction Wise;Printex;Manet;Energy;Flower Pot;Vulgunizer;Accra Mall Roundabout;Dzorwulu Junction;Abofu;Achimota Overhead;Akweteyman;Fly Top;Lapaz Market;Bambolino;Nii Boi Town Junction;Abeka Lapaz;Abeka Lapaz,,80.0,10.0,0.0;4.0;8.0;12.0;16.0;20.0;24.0;28.0;32.0;36.0;40.0;44.0;48.0;52.0;56.0;60.0;64.0;68.0;72.0
6,Abeka Lapaz,Sakumono Estate,Mo-Sa 05:00-10:00,,Abeka Lapaz;Flower Pot;Energy;Second;Cylinder;Zain Office;Manet;Lion;Printex;Herbalife;Blue Gate;Junction Wise;Coke;Shell;Shell Signboard;Costal;Bedford;First Choice;Rainbow;Basket;Kotobaabi;Total;White House;Victory Signboard;Texpo;18 Junction;Parakuo;Traffic;Sakumono,,66.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0
209,Swanlake Last Stop,Circle,Mo-Sa 05:00-10:00,,Swanlake Last Stop;Circle Asoredanho;Circle,,13.0,5.0,0.0;4.0;8.0
209,Circle,Swanlake Last Stop,Mo-Sa 05:00-10:00,,Circle;Azumah Nelson Complex;Green Hand;Swanlake;Swanlake Last Stop,,17.0,5.0,0.0;3.0;6.0;9.0;12.0
211,Tema (Motorway),Circle,Mo-Sa 05:00-10:00,,Tema Community One Market;Neoplan,,92.0,10.0,0.0;46.0
211,Circle,Tema (Motorway),Mo-Sa 05:00-10:00,,Neoplan;Trasacco;Ashaiman Overhead;Tema Motorway Total;Community 9;Community 8;Community 7;Community 4;Site 10;Site 20;Tema Main Harbour,,78.0,10.0,0.0;7.0;14.0;21.0;28.0;35.0;42.0;49.0;56.0;63.0;70.0
76,37,Achimota,Mo-Sa 05:00-10:00,,37;Culture;Roman Ridge;Ebony;Dzorwulu Junction;Abelenkpe Junction;Abelenkpe Curve;Dua Ase;Junction;Achimota New Station,,38.0,10.0,0.0;4.0;8.0;12.0;16.0;20.0;24.0;28.0;32.0;36.0
76,Achimota,37,Mo-Sa 05:00-10:00,,Achimota New Station;Abelenkpe Junction;Dzorwulu Junction;Ebony;Roman Ridge 2nd;Pig Farm Junction;Accra Girls;Kankudi;Culture;37 First Gate;37 Last Stop;37,,24.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0
20,Accra UTC,Abeka Lapaz,Mo-Sa 05:00-10:00,,Accra UTC;Accra Poly;Starlite;Champion;Adabraka Market;Mr. Biggs;Circle;Circle Asoredanho;Caprice;Alajo;Abeka Junction;Abeka Junction Curve;Fitting Shop;Abrantie;Tesano Gardens;Total;Total Curve;Abeka Bcos Junction;Adom Junction;Free Pipe;Abeka Main Market;Fadama;Eno;Fadama Junction;Abeka Post Office;Abeka Lapaz,,36.0,5.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0
20,Abeka Lapaz,Accra UTC,Mo-Sa 05:00-10:00,,Abeka Lapaz;Abeka Post Office;Fadama Junction;Eno;Fadama;Abeka Main Market;Free Pipe;Adom Junction;PnP Junction;Total;Abeka Junction Curve;Abeka Junction;CAT;Alajo;Caprice;Circle Asoredanho;Circle;Adabraka Market;Roxy Cinema;Accra UTC,,46.0,5.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0
2,Osu (37 Station),37 Lorry Park,Mo-Sa 05:00-10:00,,Osu;Osu Shell;Papaye;SNNIT;Penta Hotel;Police Hospital;Prisons;Morning Star;Roundabout;GIS;Post Office;37,,24.0,5.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0
2,37 Lorry Park,Osu (37 Station),Mo-Sa 05:00-10:00,,37;37 Last Stop;Lands Commission;GIS Curve;Roundabout;Aquinas;Prisons;Police Hospital;Koala;Afridom;SNNIT;Papaye;Osu Shell;Presby School Junction;Osu,,23.0,5.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0
46,Kaneshie,Abeka Lapaz,Mo-Sa 05:00-10:00,,Kaneshie Market Station;Second;Abeka Bcos Junction;Adom Junction;Free Pipe;Abeka Main Market;Fadama;Eno;Fadama Junction;Abeka Post Office;Abotare;Abeka Lapaz,,72.0,10.0,0.0;6.0;12.0;18.0;24.0;30.0;36.0;42.0;48.0;54.0;60.0;66.0
46,Abeka Lapaz,Kaneshie,Mo-Sa 05:00-10:00,,Abeka Lapaz;Old Stop;Masalakyi;Green Hand;Kaneshie Polyclinic;Roundabout;Social Welfare;Kaneshie Last Stop;Kaneshie Market Station,,75.0,10.0,0.0;8.0;16.0;24.0;32.0;40.0;48.0;56.0;64.0
281,Russia,Kaneshie,Mo-Sa 05:00-10:00,,Russia Station;Omanko;Russia;Paa Willie;Seventh Day Adventist;JT;First Light;Kaneshie,,32.0,10,0.0;4.0;8.0;12.0;16.0;20.0;24.0;28.0
281,Kaneshie,Russia,Mo-Sa 05:00-10:00,,Kaneshie Market Station;First Light;JT;Flamingo;Paa Willie;Russia;Omanko;Russia Station;Curve,,49.0,10,0.0;5.0;10.0;15.0;20.0;25.0;30.0;35.0;40.0
275,Madina-Adenta,Kaneshie,Mo-Sa 05:00-10:00,,Adenta Station;Adenta Barrier;Goil Filling Station;SDA;Assemblies;Ritz First;Ritz Second;Madina Masalachi;Madina Zongo Junction;Fire Stone;Atomic First;Atomic Second;Presec;UPS;Power House;Legon First;Legon Second;Okponglo;Legon Second Gate;Shiashie;Spanner;Shangrila;Airport First;Airport Second;Opeibea First;Opeibea Second;37;37 Hospital;37 Water Works;Flagstaff House;TV3;GBC;Mobil;Paloma;Equip;Circle Overhead;Circle Neoplan Station;Awudome Cemetery;Pamprom;Kaneshie Market Station,,80.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0;62.0;64.0;66.0;68.0;70.0;72.0;74.0;76.0;78.0
275,Kaneshie,Madina-Adenta,Mo-Sa 05:00-10:00,,Kaneshie Market Station;Social Welfare;Kaneshie Polyclinic;St. Theresa's;Pentecost;Green Hand;Masalakyi;Swanlake;Old Stop;Sunlight;Second;Total Curve;Abeka Bcos Junction;PnP Junction;Adom Junction;Free Pipe;Fly Top;Suzzy's Inn;Achimota Overhead;Abofu;CP;GSL;Dzorwulu Junction;Airport Junction;Accra Mall Roundabout;Shiashie;Okponglo;Legon First;Legon Second;UPS;Atomic First;Atomic Second;Fire Stone;Madina Zongo Junction;Madina Masalachi;Ritz Junction;Assemblies;SDA;Goil Filling Station;Adenta Barrier;Adenta Station,,78.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0;62.0;64.0;66.0;68.0;70.0;72.0;74.0;76.0;78.0;80.0
276,Mamponse,Kaneshie,Mo-Sa 05:00-10:00,,Mamponse;Atomic;Agege Last Stop;205;Bamboi;Salvation Army;Korle Bu Junction;Radio Gold;Black Smith;Pipeier Naa;Kasoa Station;Asoredan ho;Kaneshie,,39.0,10.0,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0
276,Kaneshie,Mamponse,Mo-Sa 05:00-10:00,,Kaneshie;Methodist;Bamboi;USA;Lotto House;205;Agege;Zone 6;Karikari;Agege Last Stop;Atomic;Point 6;Ebenezer;Mamponse,,31.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0
277,Mamprobi Alhaji,Kaneshie,Mo-Sa 05:00-10:00,,Mamprobi Alhaji Station;Alhaji Junction;Bamboi;Methodist;Abodwe;Sempe Second;Sempe First;Salvation Army;Korle Bu Junction;Radio Gold;Black Smith;Pipeier Naa;Kasoa Station;Zongo Junction;Asoredan ho;Dansoman Junction;Kaneshie;Kaneshie Takoradi Station,,20.0,8.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0
277,Kaneshie,Mamprobi Alhaji,Mo-Sa 05:00-10:00,,Kaneshie;Radio Gold;Salvation Army;Junction;Bamboi;JB Spot;Mamprobi Alhaji Station,,25.0,8.0,0.0;4.0;8.0;12.0;16.0;20.0;24.0
278,New Town,Kaneshie,Mo-Sa 05:00-10:00,,New Town;Caprice;Pamprom;Kaneshie Last Stop;Kaneshie Market Station,,61.0,10,0.0;12.0;24.0;36.0;48.0
278,Kaneshie,New town,Mo-Sa 05:00-10:00,,Kaneshie Market Station;Hubtel;Avalley;NDC;Challenge;Obour Ba;New Town,,64.0,10,0.0;9.0;18.0;27.0;36.0;45.0;54.0
998,Ashaiaman,Circle Overhead,Mo-Sa 05:00-10:00,,Ashaiman;Tetteh Quarshie / Roundabout;Spanner;Shangrila;Nima Police Station;Paloma;Equip;Circle Overhead;Circle Neoplan Station;Neoplan,,56.0,10,0.0;6.0;12.0;18.0;24.0;30.0;36.0;42.0;48.0;54.0
998,Circle Overhead,Ashaiaman,Mo-Sa 05:00-10:00,,Neoplan;Accra Mall;Trasacco;Abattoir;Ashaiman Overhead;Washing Bay;Ashaiman,,61.0,10,0.0;9.0;18.0;27.0;36.0;45.0;54.0
72,Caprice,Accra New Town,Mo-Sa 05:00-10:00,,Caprice Taxi Station;Accra New Town Taxi Station,,20.0,10,0.0;10.0
72,Accra New Town,Caprice,Mo-Sa 05:00-10:00,,Accra New Town Taxi Station;Akoko Darko Junction;Caprice Taxi Station,,20.0,10,0.0;7.0;14.0
242,Odorkor,Dansoman,Mo-Sa 05:00-10:00,,Odorkor;Sakaman;Tantua School;Sakaman Taxi Rank;Dela;Thirteen;Ave Maria;Oxygen (o2);St. Martin Depores;Dansoman Roundabout;Mama's Inn;Beecham;Sahara;Dansoman Control;Dansoman Police Station;Dansoman Market;Exhibition (Dansoman);Seven Great;Kofi ne Ama;Dansoman Last Stop,,39.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0
242,Dansoman,Odorkor,Mo-Sa 05:00-10:00,,Dansoman Last Stop;Dansoman Last Stop;Kofi ne Ama;Seven Great;Exhibition (Dansoman);Dansoman Market;Dansoman Police Station;Dansoman Control;Sahara;Beecham;Mama's Inn;Dansoman Roundabout;St. Martin Depores;Oxygen (o2);Ave Maria;Thirteen;Dela;Crystal;Busia Junction;Cold Store;Odorkor,,28.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0
264,Dansoman Last Stop,Hansonic,Mo-Sa 05:00-10:00,,Dansoman Last Stop;Kofi ne Ama;Seven Great;Exhibition (Dansoman);Dansoman Market;Dansoman Police Station;Dansoman Control;Emmanuel Presby;Sahara;Beecham;Mama's Inn;Dansoman Roundabout;MTN;Dansoman First Stop;Dansoman Polyclinic;Abomatte;Akukofoto;Wesley Grammar;Asoredanho Curve;Dansoman Asoredanho;Hansonic Taxi Rank,,21,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0
264,Hansonic,Dansoman Last Stop,Mo-Sa 05:00-10:00,,Hansonic Taxi Rank;Dansoman Asoredanho;Asoredanho Curve;Wesley Grammar;Akukofoto;Dansoman Polyclinic;Dansoman First Stop;Dansoman Roundabout;King Solomon;Mama's Inn;Beecham;Sahara;Emmanuel Presby;Dansoman Control;Dansoman Police Station;Dansoman Market;Exhibition (Dansoman);Seven Great;Kofi ne Ama;Dansoman Last Stop,,20,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0
454,Circle,Osu,Mo-Sa 05:00-10:00,,Circle;Paloma;Multi Choice;Mobil;GBC First;GBC Second;Police Headquarters;Fire Service;Danquah;Papaye;Osu Shell;Presby School Junction;Osu,,17.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0
454,Osu,Circle,Mo-Sa 05:00-10:00,,Osu;Sankara;GBC;Mobil;Nima Police Station;Paloma;Equip;Circle Overhead;Odorna,,25.0,10,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0
420,Kotobabi Down,Accra New Tema Station,Mo-Sa 05:00-10:00,,Kotobabi Down;Tobinco Junction;Caprice;Circle Asoredanho;Circle;Dance Bar;Adabraka Market;Roxy Cinema;Kingsway;Railways;Accra New Tema Station,,40.0,10,0.0;4.0;8.0;12.0;16.0;20.0;24.0;28.0;32.0;36.0;40.0
420,Accra New Tema Station,Kotobabi Down,Mo-Sa 05:00-10:00,,Accra New Tema Station;Tigo Office;Cathedral;Multi Choice;Nima Police Station;Commandos;College;Commercial Bank;Curve;37 Station;Five Five;Nkansah Gyan;Taxi Rank;Tobinco Junction;Kotobabi Down,,37.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0
422,Madina/Adenta,Circle Odorna,Mo-Sa 05:00-10:00,,Madina;Madina Zongo Junction;Fire Stone;Atomic First;Atomic Second;Presec;UPS;Power House;Legon First;Legon Second;Okponglo;Legon Second Gate;Shiashie;Spanner;Shangrila;Airport First;Airport Second;Opeibea First;Opeibea Second;37;37 Hospital;37 Water Works;Flagstaff House;TV3;GBC;Mobil;Nima Police Station;Paloma;Equip;Circle Overhead;Circle,,65.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0
422,Circle Odorna,Madina/Adenta,Mo-Sa 05:00-10:00,,Circle;Spanner;Shiashie;Okponglo;Legon First;Legon Second;UPS;Presec;Atomic First;Atomic Second;Fire Stone;Madina Zongo Junction;Madina,,51.0,10,0.0;4.0;8.0;12.0;16.0;20.0;24.0;28.0;32.0;36.0;40.0;44.0;48.0
4,Ashaiman Main Station,Abeka Lapaz,Mo-Sa 05:00-10:00,,Ashaiman;Ashaiman Overhead;Tetteh Quarshie / Roundabout;Dzorwulu Junction;Abofu;Achimota Overhead;Akweteyman;Fly Top;Lapaz Market;Bambolino;Nii Boi Town Junction;Abeka Lapaz,,43.0,10,0.0;4.0;8.0;12.0;16.0;20.0;24.0;28.0;32.0;36.0;40.0;44.0
4,Abeka Lapaz,Ashaiman Main Station,Mo-Sa 05:00-10:00,,Abeka Lapaz;Suzzy's Inn;Akweteyman;Achimota Overhead;Abofu;GSL;Dzorwulu Junction;Airport Junction;Accra Mall;KICC;Trasacco;18 Junction;Abattoir;Washing Bay;Ashaiman Traffic Junction;Ashaiman Police Station;Ashaiman,,42.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0
7,Taifa,Abeka Lapaz,Mo-Sa 05:00-10:00,,Taifa;Junction;Taifa Junction;Ofankor Barrier;Tantra Hills;Mile 7 Junction;Presby Junction;Mile 7 Park;Jesus and Mary;Mile 7 Clinic;Mile 7 T-Junction Top;Pharmacy;Family Life;Fishpond;High Tension;Nii Boi Station;Container;MTN;Abeka Lapaz,,36.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0
7,Abeka Lapaz,Taifa,Mo-Sa 05:00-10:00,,Abeka Lapaz;High Tension;Fishpond;St. Anthony School;Family Life;Mile 7 T-Junction;Taifa Junction;Airport;Daavi;Taifa,,32.0,10.0,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0
8,Tema Community One Market,Abeka Lapaz,Mo-Sa 05:00-10:00,,Tema Community One Market;Ashaiman Overhead;Dzorwulu Junction;CP;Abofu;Achimota Overhead;Akweteyman;Fly Top;Lapaz Market;Bambolino;Nii Boi Town Junction;Abeka Lapaz;Abeka Lapaz,,60.0,10,0.0;5.0;10.0;15.0;20.0;25.0;30.0;35.0;40.0;45.0;50.0;55.0;60.0
8,Abeka Lapaz,Tema Community One Market,Mo-Sa 05:00-10:00,,Abeka Lapaz;Suzzy's Inn;Akweteyman;Achimota Overhead;Abofu;CP;GSL;Dzorwulu Junction;Airport Junction;Accra Mall;Trasacco;KICC;18 Junction;Abattoir;Tema Motorway Total;Community 9;Community 8;Community 7;Community 4;Site 7;Site 10;Site 20;Tema Community One Market,,45.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0
10,Amasaman,Abeka Lapaz,Mo-Sa 05:00-10:00,,Amasaman;Fusi Junction;Pokuase Junction;ACP Junction;John Teye;Ofankor Barrier;Taifa Junction;T-Junction Down;Mile 7 T-Junction Top;Pharmacy;Family Life;Fishpond;High Tension;Nii Boi Station;Container;MTN;Abeka Lapaz,,35.0,5.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0
10,Abeka Lapaz,Amasaman,Mo-Sa 05:00-10:00,,Abeka Lapaz;Best Point;Achimota Mall;Taifa Junction;St. Johns;John Teye;ACP Junction;Pokuase Junction;Festus;Fusi Junction;Amasaman,,29.0,5.0,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0
18,Kasoa,Abeka Lapaz,Mo-Sa 05:00-10:00,,Kasoa;Amanfrom;Washing Bay;Galelia Market;Galelia;Brigade;Tuba;Broadcasting;Mile Eleven;Ayigbe Town;Bortianor;Shoprite;SCC;Weija Barrier;Modex;Tetegu;Jayeemens;McCarthy;Mallam Junction;Water Works;Vineyard;Kwashieman;Hong Kong;Nyamekye;Abrantie;Abeka Lapaz,,87.0,10.0,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0;39.0;42.0;45.0;48.0;51.0;54.0;57.0;60.0;63.0;66.0;69.0;72.0;75.0
18,Abeka Lapaz,Kasoa,Mo-Sa 05:00-10:00,,Abeka Lapaz;Abrantie;Kata;Hong Kong;Kwashieman Junction;Been To;Vineyard;Water Works;Mallam Junction;McCarthy Junction;Mendskrom;Weija Junction;Tetegu;Weija Barrier;Block Factory;SCC;Shoprite;Bortianor;Ayigbe Town;Mile Eleven;Broadcasting;Tuba;Chinese;Brigade;Galelia;Galelia Market;Washing Bay;Iron City;Amanfrom;Pink FM;Second;Kasoa,,70.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0;62.0
19,Kotokuo,Abeka Lapaz,Mo-Sa 05:00-10:00,,Kotokou;Medie;Kontunse;Sapeiman;Sapeiman;Agya Appiah;Toman;Amasaman;Fusi Junction;Festus;Pokuase Junction;ACP Junction;John Teye;Taifa Junction;T-Junction Down;Mile 7 T-Junction Top;Pharmacy;Family Life;Fishpond;High Tension;Nii Boi Station;Container;MTN;Abeka Lapaz,,61.0,10,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0;39.0;42.0;45.0;48.0;51.0;54.0;57.0;60.0;63.0;66.0;69.0
19,Abeka Lapaz,Kotokuo,Mo-Sa 05:00-10:00,,Abeka Lapaz;High Tension;Fishpond;St. Anthony School;Family Life;Mile 7 T-Junction;Taifa Junction;Ofankor Barrier;John Teye;ACP Junction;Pokuase Junction;Festus;Fusi Junction;Amasaman;Toman;Shikpontele;Sarpeiman;Macedonia;Kontunse;Satellite;Medie;School Junction;Kotokou,,63.0,10,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0;39.0;42.0;45.0;48.0;51.0;54.0;57.0;60.0;63.0;66.0
16,Sapeiman,Abeka Lapaz,Mo-Sa 05:00-10:00,,Sapeiman;Agya Appiah;Toman;Amasaman;Fusi Junction;Festus;Pokuase Junction;ACP Junction;Agya Herbal;John Teye;Ofankor Barrier;Income Tax;Spot M;Taifa Junction;Tantra Hills;Tantra Reservoir;Tantra Hills Estate;Roman;Rasta Park;T-Junction Down;Mile 7 T-Junction Top;Pharmacy;Family Life;Fishpond;Alhadji No Front;High Tension;Links Garden;Nii Boi Station;Container;MTN;Abeka Lapaz,,42.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0;26.0;27.0;28.0;29.0;30.0
16,Abeka Lapaz,Sapeiman,Mo-Sa 05:00-10:00,,Abeka Lapaz;High Tension;Fishpond;St. Anthony School;Family Life;Mile 7 T-Junction;Roman;Tantra Resevoir;Tantra Hills;Taifa Junction;Spot M;Income Tax;Ofankor Barrier;John Teye;Agya Herbal;ACP Junction;Pokuase Junction;Festus;Fusi Junction;Amasaman;Toman;Shikpontele;Sarpeiman,,47.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0
3,Tse Addo,37 Lorry Park,Mo-Sa 05:00-10:00,,Tse Addo;Kpogas;Palm Wine;Villas;Congo Junction;Home touch;37,,27.0,10.0,0.0;4.0;8.0;12.0;16.0;20.0;24.0
