freq,to,fr,ref,dur
30,Zambrama Line,Kaneshie,538,27
30,Kaneshie,Zambrama Line,538,37
20,Zongo Junction,Korle Bu,544,26
20,Korle Bu,Zongo Junction,544,21
15,Madina,Kwashieman,318,54
15,Kwashieman,Kwashieman Junction,318,42
15,Kwashieman,A Lang,313,21
15,A Lang,Kwashieman,313,12
9,Kotobabi Down,Abeka Lapaz,310,18
9,Abeka Lapaz,Kotobabi Down,310,29
17,Kwashieman,Abeka Lapaz,317,12
17,Abeka Lapaz,Kwashieman,317,13
15,Immesco Rice,Circle,193,14
15,Circle,Immesco Rice,193,20
20,Fadama Last stop,Circle,192,63
20,Circle,Fadama Last stop,192,57
15,Nima,Accra,393,20
15,Accra,Nima,393,20
25,Taifa,Achimota,114,35
25,Achimota,Taifa,114,39
20,Asofan,Achimota,88,63
20,Achimota,Asofan,88,67
30,Tema,Achimota,116,78
30,Achimota,Tema,116,97
60,Maamobi,Kaneshie,274,58
60,Kaneshie,Maamobi,274,69
15,Madina-Adenta,Kaneshie,275,78
15,Kaneshie,Madina-Adenta,275,80
10,Mamponse,Kaneshie,276,31
10,Kaneshie,Mamponse,276,39
15,Ashaiman Main Station,Achimota,112,46
15,Achimota,Ashaiman Main Station,112,84
45,Adjiringanor,Achimota,82,55
45,Achimota,Adjiringanor,82,54
10,Nima Overhead Maamobi,Achimota Terminal,399,58
10,Achimota Terminal,Nima Overhead Maamobi,399,31
20,Nima Mamobi,Ashiaman,398,87
20,Ashiaman,Nima Mamobi,398,65
10,Dome Pillar 2,Achimota,93,21
10,Achimota,Dome Pillar 2,93,34
45,Teshie-Nungua,Achimota,118,96
45,Achimota,Teshie-Nungua,118,96
50,Kuntunse/Satelite,Achimota,84,40
50,Achimota,Kuntunse/Satelite,84,30
45,Akweteman Zongo,Achimota,85,21
45,Achimota,Akweteman Zongo,85,18
10,Sukura,Arena,488,46
10,Arena,Sukura,488,39
15,Circle,Bubiashie Ayigbe Town,174,16
15,Bubiashie Ayigbe Town,Circle,174,19
5,Awoshie,Abeka Lapaz,378,36
5,Abeka Lapaz,Awoshie,378,26
30,Cantonment,Accra Bishop,173,
30,Accra Bishop,Cantonment,173,
2,Cantonments,Accra New Tema Station,416,37
2,Accra New Tema Station,Cantonments,416,53
20,Banana Inn,Accra New Tema Station,524,49
20,Accra New Tema Station,Banana Inn,524,44
5,Tsui Bleoo,Circle Odorna,428,37
5,Circle Odorna,Tsui Bleoo,428,75
10,Tse Addo,37 Lorry Park,3,30
10,37 Lorry Park,Tse Addo,3,27
5,Camara,Accra New Tema Station,520,50
5,Accra New Tema Station,Camara,520,32
15,Chemuna,Accra New Tema Station,521,60
15,Accra New Tema Station,Chemuna,521,38
15,Sukura,Accra New Tema Station,522,46
15,Accra New Tema Station,Sukura,522,40
10,Agbogbloshie,Accra New Tema Station,369,33
10,Accra New Tema Station,Agbogbloshie,369,26
15,Kotobabi Down,Accra New Tema Station,420,37
15,Accra New Tema Station,Kotobabi Down,420,40
10,Odorna,Nima Mamobi,423,45
10,Nima Mamobi,Odorna,423,27
15,Madina/Adenta,Circle Odorna,422,51
15,Circle Odorna,Madina/Adenta,422,65
1,Nungua,Circle Odorna,425,80
1,Circle Odorna,Nungua,425,80
10,Mataheko,Kaneshie,363,30
10,Kaneshie,Mataheko,363,25
60,Kotobabi Down,Accra CMB,308,40
60,Accra CMB,Kotobabi Down,308,61
6,Kotobabi Down,Circle Lido,309,33
6,Circle Lido,Kotobabi Down,309,45
5,Orgle Street,Kaneshie,449,13
5,Kaneshie,Orgle Street,449,14
30,Nima Station,Agbogbloshie,412,50
30,Agbogbloshie,Nima Station,412,65
5,Okponglo,Christian Centre,443,28
5,Christian Centre,Okponglo,443,28
20,Kasoa,Korle Bu,301,57
20,Korle Bu,Kasoa,301,77
15,Okponglo,American House,441,23
15,American House,Okponglo,441,24
25,Mallam,Korle Bu,303,46
25,Korle Bu,Mallam,303,50
10,Opetekwei,Accra New Tema Station,447,82
10,Accra New Tema Station,Opetekwei,447,49
10,Kaneshie,Dansoman,305,32
10,Dansoman,Kaneshie,305,32
30,Korle Bu,Darkuman,306,83
30,Darkuman,Korle Bu,306,54
30,Kotobabi Down,37,307,22
30,37,Kotobabi Down,307,22
5,Haatso,Abeka Lapaz,380,34
5,Abeka Lapaz,Haatso,380,40
40,Darkuman,Agbogbloshie,247,40
40,Agbogbloshie,Darkuman,247,40
20,Ashaiman Main Station,Accra New Tema Station,383,55
20,Accra New Tema Station,Ashaiman Main Station,383,66
40,Circle Overhead,Bawaleshie,241,62
40,Bawaleshie,Circle Overhead,241,36
10,Nyamekye,Dansoman,240,41
10,Dansoman,Nyamekye,240,42
60,New Town,Adenta,386,78
60,Adenta,New Town,386,68
20,Odorkor,Dansoman,242,28
20,Dansoman,Odorkor,242,39
15,Madina Station,Achimota,102,67
15,Achimota,Madina Station,102,69
irregular,Mallam Attah,Achimota,103,32
irregular,Achimota,Mallam Attah,103,46
20,Legon Station,Achimota,100,30
20,Achimota,Legon Station,100,28
20,Agbogbloshie,Opetekwei,444,77
20,Opetekwei,Agbogbloshie,444,68
15,Darkuman,Accra CMB,249,35
15,Accra CMB,Darkuman,249,68
20,Ofankor,Achimota,107,22
20,Achimota,Ofankor,107,20
30,Mayera/Adusa,Achimota,104,60
30,Achimota,Mayera/Adusa,104,49
20,Medie/Kotoku,Achimota,105,83
20,Achimota,Medie/Kotoku,105,73
5,Antie-Eku Pallas Town,Abeka Lapaz,39,27
5,Abeka Lapaz,Antie-Eku Pallas Town,39,37
30,Amasaman,Abeka Lapaz,38,49
30,Abeka Lapaz,Amasaman,38,40
15,37,Abeka Lapaz,31,30
15,Abeka Lapaz,37,31,26
30,Mallam Atta,Abeka Main Market,30,28
30,Abeka Main Market,Mallam Atta,30,28
20,Agbogbloshie,Abeka Lapaz,36,103
20,Abeka Lapaz,Agbogbloshie,36,52
25,Agape,Abeka Lapaz,35,35
25,Abeka Lapaz,Agape,35,35
15,Odorna,Agblezah,419,50
15,Agblezah,Odorna,419,50
15,Opetekwei,Circle,445,50
15,Circle,Opetekwei,445,50
8,Kaneshie Takoradi Station,Dansoman Last Stop,290,27
8,Dansoman Last Stop,Kaneshie Takoradi Station,290,19
8,Odorkor,Accra New Tema Station,438,47
8,Accra New Tema Station,Odorkor,438,56
20,Accra New Tema Station,Abelemkpe,368,62
20,Abelemkpe,Accra New Tema Station,368,51
10,Official Town,Odorkor,436,16
10,Odorkor,Official Town,436,11
15,South Odorkor,Odorkor,437,19
15,Odorkor,South Odorkor,437,19
8,Odorkor,Anyah,434,34
8,Anyah,Odorkor,434,36
10,Odorkor,Kasoa,435,34
10,Kasoa,Odorkor,435,34
10,Korle Bu,Circle Odorna,431,37
10,Circle Odorna,Korle Bu,431,37
30,Pigfarm,Accra CMB,458,34
30,Accra CMB,Pigfarm,458,93
20,Madina,Abeka Lapaz,339,36
20,Abeka Lapaz,Madina,339,77
45,Lomnava,Abeka Lapaz,338,34
45,Abeka Lapaz,Lomnava,338,32
10,Orgle-Road,Kaneshie,452,20
10,Kaneshie,Orgle-Road,452,13
30,Alhaji,Abeka Lapaz,336,16
30,Abeka Lapaz,Alhaji,336,20
5,Accra,Abeka Lapaz,331,66
5,Abeka Lapaz,Accra,331,34
15,Osu,Kaneshie,455,54
15,Kaneshie,Osu,455,63
10,Osu,Madina,456,105
10,Madina,Osu,456,65
20,Kasoa,Accra New Town,388,84
20,Accra New Town,Kasoa,388,70
20,Kasoa,Abossey-Okai,64,45
20,Abossey-Okai,Kasoa,64,46
20,Darkuman,Accra,65,31
20,Accra,Darkuman,65,25
60,Nima,Accra,66,37
60,Accra,Nima,66,33
10,Madina,Accra New Town,389,53
10,Accra New Town,Madina,389,59
10,Circle,Bubiashie-Atico,177,23
10,Bubiashie-Atico,Circle,177,26
20,Okponglo,Bawaleshie,442,8
20,Bawaleshie,Okponglo,442,8
25,Banana Inn/Dansoman,Agbogbloshie,175,28
25,Agbogbloshie,Banana Inn/Dansoman,175,29
27,Darkuman,Accra Post - Office,251,37
27,Accra Post - Office,Darkuman,251,47
45,Adjiringanor,Accra New Tema Station,256,66
45,Accra New Tema Station,Adjiringanor,256,66
20,Banana Inn,Accra New Tema Station,172,40
20,Accra New Tema Station,Banana Inn,172,35
60,Dzorwulu,Circle,254,54
60,Circle,Dzorwulu,254,41
10,Banana Inn,Accra Post Office,170,36
10,Accra Post Office,Banana Inn,170,13
15,Zongo Junction,Chorkor,542,16
15,Chorkor,Zongo Junction,542,26
15,Accra New Town,37,385,25
15,37,Accra New Town,385,33
5,Good Shepherd,Kaneshie,272,10
5,Kaneshie,Good Shepherd,272,10
3,Swanlake,Kaneshie,288,12
3,Kaneshie,Swanlake,288,12
10,Nima Overhead,Lapaz-Nii Boi Junction,405,30
10,Lapaz-Nii Boi Junction,Nima Overhead,405,30
15,Santa Maria,Dansoman,243,48
15,Dansoman,Santa Maria,243,37
40,Bubuashie Ayigbe Town,Accra CMB,178,24
40,Accra CMB,Bubuashie Ayigbe Town,178,39
40,Tema,Abeka Lapaz,347,45
40,Abeka Lapaz,Tema,347,52
15,Nima Maamobi,Accra New Town,391,14
15,Accra New Town,Nima Maamobi,391,16
25,Chorkor,Agbogbloshie,185,21
25,Agbogbloshie,Chorkor,185,34
10,Circle,Asore Danho,188,33
10,Asore Danho,Circle,188,55
20,Zambrama Line,Arena,536,33
20,Arena,Zambrama Line,536,99
45,Ashaiman Main Station,Abeka Lapaz,4,42
45,Abeka Lapaz,Ashaiman Main Station,4,43
10,Kotobabi Down Polo Park,Circle,196,61
10,Circle,Kotobabi Down Polo Park,196,61
10,Nungua Authority,Accra Rawlings Park,469,47
10,Accra Rawlings Park,Nungua Authority,469,59
25,Omanjor,Abeka Lapaz,342,122
25,Abeka Lapaz,Omanjor,342,68
15,Sakaman Blue Lagoon,Accra Rawlings Park,467,36
15,Accra Rawlings Park,Sakaman Blue Lagoon,467,32
10,Sakumono Estate,Abeka Lapaz,6,66
10,Abeka Lapaz,Sakumono Estate,6,80
5,Mamprobi,Accra Post Office,463,20
5,Accra Post Office,Mamprobi,463,26
10,Legon,Achimota,99,27
10,Achimota,Legon,99,26
15,Abeka Lapaz,Achimota,98,27
15,Achimota,Abeka Lapaz,98,17
5,Odorkor,Accra CMB,228,40
5,Accra CMB,Odorkor,228,40
15,Kaneshie,Arena,164,34
15,Arena,Kaneshie,164,34
10,Darkuman,Achimota,90,29
10,Achimota,Darkuman,90,44
40,Russia,Arena,166,50
40,Arena,Russia,166,50
15,Dome /Ashongman Estates,Achimota,92,51
15,Achimota,Dome /Ashongman Estates,92,63
5,Accra CMB,Ablekuma,223,78
5,Ablekuma,Accra CMB,223,62
10,Nima mamobi,Circle Overhead,222,32
10,Circle Overhead,Nima mamobi,222,40
15,Madina,Circle Overhead,221,80
15,Circle Overhead,Madina,221,80
10,Apapa,Accra New Tema Station,163,37
10,Accra New Tema Station,Apapa,163,57
10,Circle Accra,Abeka Lapaz,11,37
10,Abeka Lapaz,Circle Accra,11,42
5,Amasaman,Abeka Lapaz,10,29
5,Abeka Lapaz,Amasaman,10,35
50,Dome Kwabenya,Abeka Lapaz,15,52
50,Abeka Lapaz,Dome Kwabenya,15,53
10,Kaneshie,Chorkor,271,25
10,Chorkor,Kaneshie,271,20
11,Kotokuo,Abeka Lapaz,19,63
11,Abeka Lapaz,Kotokuo,19,61
10,Kasoa,Abeka Lapaz,18,70
10,Abeka Lapaz,Kasoa,18,87
25,Odorna,Nungua,424,45
25,Nungua,Odorna,424,45
45,Kwashieman,Achimota,314,59
45,Achimota,Kwashieman,314,46
60,Accra New Tema Station,Achimota,117,74
60,Achimota,Accra New Tema Station,117,98
1,Yellow House,Abeka Lapaz,349,23
1,Abeka Lapaz,Yellow House,349,25
15,Korlebu,Kaneshie,273,16
15,Kaneshie,Korlebu,273,19
7,New Fadama,Kaneshie Market Station,286,25
7,Kaneshie Market Station,New Fadama,286,28
30,Alajo,Accra CMB,224,55
30,Accra CMB,Alajo,224,38
5,Kaneshie,Akoto Lante,155,20
5,Akoto Lante,Kaneshie,155,27
5,Nima,Circle,395,21
5,Circle,Nima,395,18
10,Circle,Alajo,157,26
10,Alajo,Circle,157,12
0,Kotobabi Police Station,Alajo Junction,159,12
0,Alajo Junction,Kotobabi Police Station,159,9
25,Nima Overhead Maamobi,Alajo Station,400,19
25,Alajo Station,Nima Overhead Maamobi,400,39
8,Mamprobi Alhaji,Kaneshie,277,25
8,Kaneshie,Mamprobi Alhaji,277,20
25,Kwashieman/Santa Maria,Korle Bu,302,52
25,Korle Bu,Kwashieman/Santa Maria,302,44
20,New town,Kaneshie,278,64
20,Kaneshie,New Town,278,61
45,Dansoman,Circle,238,62
45,Circle,Dansoman,238,74
60,Dansoman,Achimota,235,46
60,Achimota,Dansoman,235,65
5,Dansoman,Arena,236,54
5,Arena,Dansoman,236,59
10,Dansoman,Awoshie,237,37
10,Awoshie,Dansoman,237,26
25,Omanjor,Accra CMB,230,86
25,Accra CMB,Omanjor,230,72
20,Weija,Accra CMB,231,86
20,Accra CMB,Weija,231,67
45,La Olympia,Accra Rawlings Park,468,28
45,Accra Rawlings Park,La Olympia,468,40
35,Mallam Attah,Kotobabi Down/Polo park,357,25
